epoch,acc,loss,val_acc,val_loss
0,0.59523815,0.692681644644056,0.8333333,0.6887280344963074
1,0.8214286,0.688060428415026,0.8333333,0.6837885975837708
2,0.85714287,0.6832308854375567,0.8333333,0.6780074238777161
3,0.88095236,0.6773693987301418,0.8333333,0.6704441905021667
4,0.85714287,0.670048075062888,0.8333333,0.6609656810760498
5,0.85714287,0.6611242464610508,0.8333333,0.6486685872077942
6,0.8452381,0.6494646412985665,0.8333333,0.6323193907737732
7,0.8333333,0.634179379258837,0.8333333,0.6106373071670532
8,0.8333333,0.613536502633776,0.8333333,0.581444263458252
9,0.8333333,0.5873428157397679,0.8333333,0.5440749526023865
10,0.8333333,0.5562499761581421,0.8333333,0.5062083601951599
11,0.8333333,0.5178985723427364,0.8333333,0.48284828662872314
12,0.8333333,0.49844895941870554,0.8333333,0.49256348609924316
13,0.8333333,0.48136077182633535,0.8333333,0.5082858204841614
14,0.8333333,0.482319427388055,0.8333333,0.5157938003540039
15,0.8333333,0.4786064326763153,0.8333333,0.5022881627082825
16,0.8333333,0.46633521573884146,0.8333333,0.4793734550476074
17,0.8333333,0.4566185176372528,0.8333333,0.4612920582294464
18,0.8333333,0.4449861560549055,0.8333333,0.4451305866241455
19,0.8333333,0.441268584557942,0.8333333,0.43380728363990784
20,0.8333333,0.4341926872730255,0.8333333,0.4287169277667999
21,0.8333333,0.42881488374301363,0.8333333,0.4267273247241974
22,0.8333333,0.42352614658219473,0.8333333,0.4239254295825958
23,0.8333333,0.4166716890675681,0.8333333,0.4211474359035492
24,0.8333333,0.4099023640155792,0.8333333,0.4185616075992584
25,0.8333333,0.40205369676862446,0.8333333,0.41420459747314453
26,0.8333333,0.3956902665751321,0.8333333,0.4048514664173126
27,0.8333333,0.3885497408253806,0.8333333,0.39979466795921326
28,0.8333333,0.37925003681864056,0.8333333,0.3922668397426605
29,0.8333333,0.3699601675782885,0.8333333,0.381605863571167
30,0.8452381,0.36024158341544016,0.8333333,0.3694275915622711
31,0.85714287,0.35146257281303406,0.8333333,0.35792580246925354
32,0.8452381,0.3431675817285265,0.8333333,0.34870192408561707
33,0.8452381,0.3378948100975582,0.8333333,0.3407280445098877
34,0.8452381,0.33023034249033245,0.8333333,0.33122169971466064
35,0.8452381,0.3213851068701063,0.8333333,0.323886513710022
36,0.85714287,0.3135000169277191,0.8333333,0.31686076521873474
37,0.85714287,0.30591587935175213,0.8333333,0.31296953558921814
38,0.8452381,0.3012958424431937,0.8333333,0.3082517683506012
39,0.84523815,0.2888176909514836,0.8333333,0.30609485507011414
40,0.85714287,0.2799472723688398,0.8333333,0.3024248480796814
41,0.8690476,0.272158363035747,0.8333333,0.2969680726528168
42,0.8690476,0.26445033294813974,0.8333333,0.29007688164711
43,0.86904764,0.25773139936583384,0.8333333,0.2857288420200348
44,0.88095236,0.24703562472547805,0.8333333,0.27360936999320984
45,0.90476185,0.23727073201111384,0.8333333,0.26308807730674744
46,0.90476185,0.2277764571564538,0.8333333,0.2584008574485779
47,0.89285713,0.21992801981312887,0.88888884,0.24860268831253052
48,0.88095236,0.21077836411339895,0.88888884,0.24021197855472565
49,0.9166666,0.20085689851215907,0.88888884,0.22747887670993805
50,0.9285714,0.18938574407781875,0.88888884,0.2141210436820984
51,0.9166666,0.18074946531227656,0.88888884,0.19854755699634552
52,0.9404761,0.17231101649148123,0.88888884,0.1855861097574234
53,0.95238096,0.160552122763225,0.9444444,0.17477160692214966
54,0.96428573,0.15160169558865683,0.9444444,0.16477495431900024
55,0.96428573,0.14114328367369516,0.9444444,0.1523110568523407
56,0.96428573,0.132095211318561,0.9444444,0.1390732228755951
57,0.9880952,0.12380136549472809,0.9444444,0.14226876199245453
58,0.9880952,0.11666180406297956,0.9444444,0.12537701427936554
59,1.0,0.10351676919630595,1.0,0.12757310271263123
60,1.0,0.09967413544654846,1.0,0.10156020522117615
61,1.0,0.08663168655974525,1.0,0.09621142596006393
62,1.0,0.08040103422743934,1.0,0.08551900833845139
63,1.0,0.07176300563982554,1.0,0.07688715308904648
64,1.0,0.06492309272289276,1.0,0.06784843653440475
65,1.0,0.05730822682380676,1.0,0.06023617088794708
66,1.0,0.05273145543677466,1.0,0.05336582288146019
67,1.0,0.04644755859460149,1.0,0.047496456652879715
68,1.0,0.04155468674642699,1.0,0.04506414011120796
69,1.0,0.0377752711730344,1.0,0.03910289332270622
70,1.0,0.03306077154619353,1.0,0.03531112149357796
71,1.0,0.030534061470202038,1.0,0.031148219481110573
72,1.0,0.02759537659585476,1.0,0.027638621628284454
73,1.0,0.024569052138498852,1.0,0.026729891076683998
74,1.0,0.022520588976996287,1.0,0.023372700437903404
75,1.0,0.020028380677103996,1.0,0.020791448652744293
76,1.0,0.018515509686299732,1.0,0.02007206529378891
